LATIN AMERICAN CLIMATE ASSESSMENT & DATASET (LACA&D), file created on 28-09-2019
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Martinez, R., J.J. Nieto, A. Freire, E.J.M. van den Besselaar, A.M.G. Klein Tank, G. van der Schrier, 2012.
Daily dataset for climate extreme analyses in Latin America.
In preparation
Data and metadata available at http://ciifen.knmi.nl

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 76 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 78- 81 HGTH   : Station elevation in meters
 83- 86 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 88- 95 BEGIN  : Begin date YYYYMMDD
 97-104 END    : End date YYYYMMDD
106-110 PARID  : Participant identifier
112-162 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,      LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1332,104322,FUTALEUFU AD.                           ,CL,-43:11:21,-71:50:57, 350, TG1,19610809,20131231,    6,Juan Quintana                                     
 1333,104326,ALTO PALENA AD.                         ,CL,-43:36:42,-71:48:19, 281, TG1,19600719,20131231,    6,Juan Quintana                                     
 1334,104330,TENIENTE GALLARDO PUERTO NATALES AD.    ,CL,-51:42:26,-72:49:40,  70, TG1,19650122,20131231,    6,Juan Quintana                                     
 1335,104334,FUENTES MARTINEZ PORVENIR AD.           ,CL,-53:11:15,-70:19:13,  27, TG1,19850401,20131211,    6,Juan Quintana                                     
 1336,101322,LLUTA                                   ,CL,-18:24:37,-70:10:09, 290, TG1,19681217,19931226,    8,DGA-WEB                                           
 1336,104338,LA RIVERA                               ,CL,-18:31:42,-70:09:51, 310, TG1,19700714,19731113,    8,DGA-WEB                                           
 1337,104342,LAGUNA NEGRA                            ,CL,-33:39:57,-70:06:28,2780, TG1,20030225,20050831,    8,DGA-WEB                                           
 1338,104346,GLACIAR ECHAURREN                       ,CL,-33:34:20,-70:07:42,3850, TG1,19990304,20020818,    8,DGA-WEB                                           
 1339,104350,GLACIAR TEMPANO                         ,CL,-48:50:05,-74:10:59,  20, TG1,20110501,20110531,    8,DGA-WEB                                           
 1340,104170,BAHIA SAN FELIPE                        ,CL,-52:52:11,-69:55:55,  10, TG1,19870603,19931031,    8,DGA-WEB                                           
 1340,104354,SARITA EN BAHIA SAN FELIPE              ,CL,-52:52:03,-69:54:00,  15, TG1,19820522,19841228,    8,DGA-WEB                                           
